"Date","Price","Open","High","Low","Vol.","Change %"
"16-04-2025","4,201.80","4,204.50","4,214.10","4,164.00","14.70K","0.09%"
"17-04-2025","4,164.20","4,197.00","4,202.90","4,151.00","17.46K","-0.89%"
"21-04-2025","4,191.40","4,165.00","4,199.00","4,125.00","21.39K","0.65%"
"22-04-2025","4,254.50","4,200.00","4,269.30","4,163.20","22.10K","1.51%"
"23-04-2025","4,243.50","4,267.80","4,268.00","4,179.60","15.94K","-0.26%"
"24-04-2025","4,275.90","4,252.00","4,347.00","4,233.70","24.40K","0.76%"
"25-04-2025","4,248.90","4,288.00","4,365.00","4,177.00","28.17K","-0.63%"
"28-04-2025","4,274.10","4,250.00","4,335.30","4,202.10","22.32K","0.59%"
"29-04-2025","4,268.40","4,295.50","4,297.80","4,211.00","13.92K","-0.13%"
"30-04-2025","4,292.80","4,250.00","4,338.00","4,227.20","20.54K","0.57%"
"02-05-2025","4,297.20","4,310.50","4,340.00","4,250.00","14.35K","0.10%"
"05-05-2025","4,260.10","4,314.90","4,325.90","4,252.00","11.17K","-0.86%"
"06-05-2025","4,243.60","4,250.00","4,311.00","4,222.60","16.33K","-0.39%"
"07-05-2025","4,275.60","4,200.00","4,300.00","4,170.80","17.85K","0.75%"
"08-05-2025","4,263.00","4,271.00","4,323.20","4,188.00","14.10K","-0.29%"
"09-05-2025","4,249.90","4,100.10","4,258.60","4,100.10","13.84K","-0.31%"
"12-05-2025","4,249.40","4,212.00","4,338.70","4,212.00","15.06K","-0.01%"
"13-05-2025","4,324.00","4,269.30","4,335.00","4,269.10","17.57K","1.76%"
"14-05-2025","4,405.00","4,338.00","4,412.70","4,302.20","21.10K","1.87%"
"15-05-2025","4,459.20","4,405.00","4,490.00","4,388.00","18.13K","1.23%"
"16-05-2025","4,413.20","4,465.10","4,476.70","4,400.00","10.73K","-1.03%"
"19-05-2025","4,468.00","4,448.00","4,488.00","4,405.00","15.03K","1.24%"
"20-05-2025","4,949.80","4,575.00","5,050.00","4,575.00","1.45M","10.78%"
"21-05-2025","4,978.90","4,946.90","5,028.00","4,848.50","147.06K","0.59%"
"22-05-2025","5,139.40","4,935.00","5,169.00","4,850.00","116.57K","3.22%"
"23-05-2025","5,147.80","5,103.00","5,172.30","5,076.50","48.06K","0.16%"
"26-05-2025","5,182.60","5,174.50","5,360.00","5,115.70","88.92K","0.68%"
"27-05-2025","5,417.60","5,184.60","5,438.00","5,162.70","127.41K","4.53%"
"28-05-2025","5,511.00","5,380.00","5,564.00","5,362.10","87.86K","1.72%"
"29-05-2025","5,585.30","5,511.00","5,600.00","5,491.20","41.98K","1.35%"
"30-05-2025","5,613.30","5,549.00","5,671.30","5,533.30","44.31K","0.50%"
"02-06-2025","5,623.50","5,590.00","5,680.00","5,580.00","40.95K","0.18%"
"03-06-2025","5,693.50","5,600.00","5,750.00","5,597.00","56.46K","1.24%"
"04-06-2025","5,750.50","5,693.00","5,799.00","5,670.50","45.11K","1.00%"
"05-06-2025","5,797.00","5,773.50","5,857.50","5,748.00","37.82K","0.81%"
"06-06-2025","5,706.50","5,775.00","5,810.00","5,678.50","23.37K","-1.56%"
"09-06-2025","5,608.50","5,707.00","5,731.50","5,583.00","25.93K","-1.72%"
"10-06-2025","5,773.50","5,660.00","5,809.00","5,621.50","53.20K","2.94%"
"11-06-2025","5,776.00","5,774.00","5,839.00","5,742.00","21.56K","0.04%"
"12-06-2025","5,889.00","5,788.00","5,930.00","5,773.00","62.64K","1.96%"
"13-06-2025","5,882.50","5,850.50","5,927.50","5,785.00","24.38K","-0.11%"
"16-06-2025","5,873.00","5,910.00","5,993.00","5,832.50","25.19K","-0.16%"
"17-06-2025","5,860.50","5,900.00","5,981.00","5,840.00","28.55K","-0.21%"
